step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,bmiaspirin,0.37715216504541127,0.23806699492832,0.32785447749139085,10.0
2,bmiaspirin,0.052659672252950686,0.32785447749139085,0.3451191868227499,10.0
3,bmiaspirin,0.022553857395401153,0.3451191868227499,0.352902955746767,10.0
4,bmiaspirin,0.013222680429169792,0.352902955746767,0.35756927875311595,10.0
5,bmiaspirin,0.005168216372658956,0.35756927875311595,0.35941727415392766,10.0
6,bmiaspirin,0.0024718822956848957,0.35941727415392766,0.3603057113506721,10.0
7,bmiaspirin,0.001609449570204394,0.3603057113506721,0.3608856052229476,10.0
8,bmiaspirin,0.005321694153555266,0.3608856052229476,0.3628061280383648,10.0
9,bmiaspirin,0.0028716899414036414,0.3628061280383648,0.3638479947469322,10.0
10,bmiaspirin,0.00197446416131733,0.3638479947469322,0.3645663995727272,10.0
11,bmiaspirin,0.00194112066727938,0.3645663995727272,0.36527406694553344,10.0
12,bmiaspirin,0.00018549123739908875,0.36527406694553344,0.36534182208420096,10.0
13,bmiaspirin,0.0013879471539522945,0.36534182208420096,0.3658488972263825,10.0
