iterID,x1,x2,x3,x4,x5,x6,x7,Pareto_f1,Pareto_f2
0,-0.5,-2.0,0.0,1.25,0.0,-2.0,0.5,-0.7527499999999937,-3.297682500000038
1,-0.7891347163241322,-1.9864919836979416,-0.40123524237705666,0.08242743352347981,8.157530846432365,0.9716296091536103,-0.7021600992165004,-1.3701187605908332,-2.177659993535187
1,-0.47279851931517736,-1.9682933473178201,-0.3943942557388995,0.10603760142451943,9.054319638171759,0.5734261601763739,-0.2752874405526382,-1.3444826713253006,-2.397339505597563
1,-0.5,-2.0,0.0,1.25,0.0,-2.0,0.5,-0.7527499999999937,-3.297682500000038
2,0.4677007527383905,-1.9980430669943106,1.051712369083912,0.0015495811637555867,-8.294711537151308,-1.9562442144301726,0.5047638059910573,-1.4217745386150158,-4.192714089495343
3,0.4677007527383905,-1.9980430669943106,1.051712369083912,0.0015495811637555867,-8.294711537151308,-1.9562442144301726,0.5047638059910573,-1.4217745386150158,-4.192714089495343
4,0.4677007527383905,-1.9980430669943106,1.051712369083912,0.0015495811637555867,-8.294711537151308,-1.9562442144301726,0.5047638059910573,-1.4217745386150158,-4.192714089495343
5,0.4677007527383905,-1.9980430669943106,1.051712369083912,0.0015495811637555867,-8.294711537151308,-1.9562442144301726,0.5047638059910573,-1.4217745386150158,-4.192714089495343
5,-0.818778407205284,-1.9901124931510719,0.8694737690888861,0.0004709396163654622,-6.412542374907487,-1.9869030717724288,-0.4770088829155502,-1.4167072005495807,-4.202305071652434
6,0.4677007527383905,-1.9980430669943106,1.051712369083912,0.0015495811637555867,-8.294711537151308,-1.9562442144301726,0.5047638059910573,-1.4217745386150158,-4.192714089495343
6,-0.818778407205284,-1.9901124931510719,0.8694737690888861,0.0004709396163654622,-6.412542374907487,-1.9869030717724288,-0.4770088829155502,-1.4167072005495807,-4.202305071652434
