iterID,x1,x2,x3,x4,x5,x6,x7,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,-0.5,-2.0,0.0,1.25,0.0,-2.0,0.5,-0.7527499999999937,-3.297682500000038,0.0,0.0,0.0,0.0,0.0,0.0,28.348711304375243
0,1.0,0.0,-2.0,3.75,5.0,1.0,-0.5,2.0137500000000266,3.4459624999999585,0.0,0.0,0.0,0.0,0.0,0.0,28.348711304375243
0,0.5,2.0,1.0,2.5,-10.0,0.0,-1.0,2.76650000000002,4.757645,0.0,0.0,0.0,0.0,0.0,0.0,28.348711304375243
0,0.0,-1.0,-1.0,5.0,10.0,-1.0,1.0,1.97299999999997,1.599114999999987,0.0,0.0,0.0,0.0,0.0,0.0,28.348711304375243
0,-1.0,1.0,2.0,0.0,-5.0,2.0,0.0,0.7119999999999915,2.77483500000003,0.0,0.0,0.0,0.0,0.0,0.0,28.348711304375243
1,-0.9985408574034966,-1.9806353173188262,-0.01310883942526675,1.560204666097502,8.593701313887077,1.3555233869858,-0.8033387846379596,-0.572382440236651,-0.8179382163535482,-1.1857092619476124,0.0,-2.042136870989319,-4.173979668851751,0.0,-2.1753565795935703,32.760343497061626
1,-0.953699513024516,-1.992703798784551,0.9224920966739538,0.11935395148112721,4.429651714856496,1.9637329783108015,-0.37901604905252406,-1.354712032789232,-1.502486004227726,0.829178747316252,0.0,-0.4146303363988046,-4.755416837397321,0.0,-2.385114901119513,32.760343497061626
1,-0.9997378342592442,-1.520190216707264,-0.2109149306714162,1.8537779738976252,3.0012918060281084,0.787068956183707,-0.9694544951364977,-0.08689666231254546,-0.30827929402101517,-1.2804991981491713,0.0,-2.11870253611421,-2.842960178704659,0.0,-1.695180166259086,32.760343497061626
1,-0.47279851931517736,-1.9682933473178201,-0.3943942557388995,0.10603760142451943,9.054319638171759,0.5734261601763739,-0.2752874405526382,-1.3444826713253006,-2.397339505597563,-0.31115263910521396,0.0,-1.3357221164216782,-4.538193252471706,0.0,-2.3067496760620547,32.760343497061626
1,-0.7891347163241322,-1.9864919836979416,-0.40123524237705666,0.08242743352347981,8.157530846432365,0.9716296091536103,-0.7021600992165004,-1.3701187605908332,-2.177659993535187,1.7795079570113355,0.0,0.35298900109284076,-4.857094041116977,0.0,-2.421795802760246,32.760343497061626
2,0.4677007527383905,-1.9980430669943106,1.051712369083912,0.0015495811637555867,-8.294711537151308,-1.9562442144301726,0.5047638059910573,-1.4217745386150158,-4.192714089495343,-1.5526952959319353,0.0,-1.176930999819944,-4.0610106070352385,0.0,-1.6283301425408967,37.486561085995
2,0.8999289376613924,-1.9985987691757263,1.1083444161030567,0.006271719833925039,-8.307768949877637,-1.9397036022598801,0.34699828402101196,-1.4196344101023126,-4.179064767885503,-1.602821902482557,0.0,-1.2106218384448344,-3.926477460249536,0.0,-1.5770105175805096,37.486561085995
2,-0.04057052649540127,-1.9913958634748348,1.0281672041429255,0.003625475873143752,-8.584197155468221,-1.920570698042964,0.4571699380653489,-1.415926974250185,-4.157913102655557,-1.4997216032817393,0.0,-1.1413265922357214,-4.086956334292174,0.0,-1.638227517455284,37.486561085995
2,0.6769878711142203,-1.9915943996758658,1.040558889093555,0.0034397807747346687,-8.609837043663678,-1.9251460646500618,0.4570351215758779,-1.4161680502932035,-4.161367896802766,-1.572875524131478,0.0,-1.1904944316672137,-3.986745698331245,0.0,-1.6000007133001068,37.486561085995
2,0.26646908685693504,-1.9925751588236114,1.04359045232174,0.0015495811637555867,-8.305028237178163,-1.9562771806850852,0.49065591321847646,-1.4178813879974899,-4.184802880605268,-1.5292256700976607,0.0,-1.1611567148447466,-4.0760287642011015,0.0,-1.6340590369566046,37.486561085995
3,-0.326676226625647,-1.9889591353167542,-1.7983852923734893,0.007600022837409102,-4.891078824103806,-1.9142589831900882,0.8355836048911407,-1.4120576920818217,-4.147248793004929,-1.4523883144884537,0.0,-0.77533321093274,-4.275912514763196,0.0,-1.0160291638017314,37.486561085995
3,-0.3085361619264242,-1.9885902940347482,-1.9868925444774164,0.03526973914606518,2.0000163948625165,-1.9262051440402803,0.7325119008849856,-1.3969364394313235,-4.134080302956023,-1.4279277262174581,0.0,-0.7582765685518167,-4.280663504046291,0.0,-1.0176261809363514,37.486561085995
3,0.588766334311754,-1.9971235901406925,-1.954451972952928,0.010436652529883794,-0.7261639555294259,-1.4399031396502358,0.8367424062787758,-1.416347513771603,-3.8429646158784876,-1.4524482198605237,0.0,-0.7753749836201658,-3.945427959079527,0.0,-0.9049387220631796,37.486561085995
3,0.588766334311754,-1.9971235901406925,-1.954451972952928,0.010436652529883794,-0.7260295569767568,-1.4399031396502358,0.8367424062787758,-1.416347513771603,-3.8429646158784876,-1.4524480071066839,0.0,-0.7753748352645284,-3.945428147379679,0.0,-0.9049387853591694,37.486561085995
3,0.5958767718809603,-1.9992518525659089,0.008387551836798401,0.06101341697326852,1.2619243663913515,-1.7947763217772217,0.7424289440957166,-1.390703114112284,-4.043430735907258,-1.3946316157222876,0.0,-0.7350588174863099,-4.09867474190558,0.0,-0.9564517277585297,37.486561085995
4,-0.6773483434813881,-1.993187749135427,-1.7507985336267113,0.004650647765091407,4.636601620226468,-1.9677248732785324,0.6294908184954133,-1.4166522795345926,-4.190967819732999,-1.410090360465606,0.0,-0.606127934152849,-4.1998164326538685,0.0,-0.7958585656236785,37.486561085995
4,0.8425413933980357,-1.9987320680101777,0.014887005522872254,0.00816787421792829,1.1874009093777111,1.7525805642720949,-0.46472822894238874,-1.418711083968219,-1.7335583582027951,-1.4253570245459337,0.0,-0.617650269915987,-1.769912583714074,0.0,0.06009769579832125,37.486561085995
4,0.7668005595708418,-1.9862276392642777,-0.47859306022193904,0.011728811923880627,-2.649225288264198,-1.449062630903969,-0.6559302095862907,-1.4078957071530398,-3.8322606859861725,-1.4161869694251212,0.0,-0.6107292783023288,-3.8436480053406172,0.0,-0.6703949199684726,37.486561085995
4,-0.4475075203076313,-1.9967596601698783,-1.1160561974769012,0.009850800791217588,5.462021895864817,-1.7821254398193673,0.8722138687743761,-1.4164029980160935,-4.069422706723686,-1.4097744529852156,0.0,-0.6058895066850021,-4.075531788014111,0.0,-0.7520781420384306,37.486561085995
4,-0.6160440157162899,-1.9784678753952234,-0.11942798566452306,0.022847543790652236,-2.3618629648296716,-1.7726816728523487,-0.6687681189455832,-1.3963999962658442,-4.0269839193925,-1.3945160135128334,0.0,-0.5943733783483044,-4.026309058597111,0.0,-0.7347389771710037,37.486561085995
5,-0.818778407205284,-1.9901124931510719,0.8694737690888861,0.0004709396163654622,-6.412542374907487,-1.9869030717724288,-0.4770088829155502,-1.4167072005495807,-4.202305071652434,-1.3082887280373336,0.0,-0.44011675983113013,-4.206479550932442,0.0,-0.7309500147020346,37.526682151614885
5,-0.004080440835021459,-1.9900663420579237,0.8694737690888861,0.0004709396163654622,-6.412542374907487,-1.9838938958964012,-0.9813106537593705,-1.4166743409712292,-4.200246039601193,-1.314697767290268,0.0,-0.44533596250981133,-4.195205595724092,0.0,-0.7267020935866266,37.526682151614885
5,-0.8161004028440672,-1.993412619240826,1.2811916174378122,0.007624320225454581,-6.347759045616918,-0.9765049764778595,-0.925893571518118,-1.415215524938422,-3.5328988727724218,-1.3239761483560248,0.0,-0.4528918143935474,-3.5729114894065024,0.0,-0.49222748149462553,37.526682151614885
5,0.08345825085193415,-1.9854157880469083,0.9563056760761088,0.03181746065317585,8.903362854804978,-1.9746624253569465,0.15938200735835162,-1.3965300647186512,-4.164116275822948,-1.2729780507408188,0.0,-0.41136150116304837,-4.164525098220129,0.0,-0.7151419684335855,37.526682151614885
5,0.1203976915090994,-1.9860569379439559,0.945234716141262,0.0011505128774390349,-5.217701018209854,1.8836357344410226,0.5496168621532147,-1.4134547144008922,-1.6336199321069003,-1.2932180412323382,0.0,-0.42784394235600154,-1.6611240646701044,0.0,0.2281161795919852,37.526682151614885
6,0.8083095357752803,-1.8732258168451412,0.08934315138517857,0.003231393512663405,8.965741051367008,-1.9661862143648596,-0.7752018938408617,-1.3320015232774545,-4.016957897662106,-0.8169322918666834,0.0,0.05078434165247804,-4.012338087669203,0.0,-0.612459418949342,37.526682151614885
6,-0.5725177710247364,-1.9869469371489399,0.463216218476048,0.0944765777320847,6.857185765992583,-1.9819745972275016,-0.955275700107167,-1.3639722970078938,-4.124660876380495,-0.7855655265803081,0.0,0.0781459074861503,-4.140560951175038,0.0,-0.663705136662442,37.526682151614885
6,0.7979047626499596,-1.9931735411282538,-1.9271182014268167,0.09440362573988448,7.660822411207892,-1.9111661528357895,0.5420789107359854,-1.3684448142610095,-4.086873620007169,-0.8504773968940526,0.0,0.021522586695472835,-4.075788099460547,0.0,-0.6378179338370092,37.526682151614885
6,-0.7004126705519123,-1.952823605274928,0.16357036111605794,0.008778950952416306,-7.883149753174896,-1.9688516709591277,-0.8974554740114558,-1.3856961102942686,-4.130087236136318,-0.7394325251191648,0.0,0.11838821953393612,-4.146754532341325,0.0,-0.6661804714303813,37.526682151614885
6,0.7979047626499596,-1.9862616062082985,-1.9271182014268167,0.09440362573988448,8.32656735154342,0.8422417998976943,0.541995901123266,-1.3635235165979807,-2.2540894781979395,-0.8772010403351693,0.0,-0.001788734145357128,-2.242166860783554,0.0,0.09500953406391077,37.526682151614885
